        || Local Search (INC)                            || Local Search (CH)                             || Local Step (INC)                              || Local Step (CH)                               || Global Step (INC)                             || Global Step (CH)                              || Subdivision                                   ||
Size    || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound || min score | max score | min bound | max bound ||
300     || 1.0000    | 0.0000    | 1.0000    | 0.0000    || 1.0000    | 0.0000    | 1.0000    | 0.0000    || 0.1866    | 0.7517    | 0.2320    | 0.7223    || 0.2818    | 0.8280    | 0.4657    | 0.6482    || 0.1349    | 0.8214    | 0.1641    | 0.8092    || 0.1667    | 0.8766    | 0.2511    | 0.7919    || ---       | ---       | ---       | ---       ||
400     || 1.0000    | 0.0000    | 1.0000    | 0.0000    || 1.0000    | 0.0000    | 1.0000    | 0.0000    || 0.1898    | 0.7456    | 0.2270    | 0.7175    || 0.2717    | 0.8279    | 0.4778    | 0.6459    || 0.1553    | 0.8250    | 0.1906    | 0.7957    || 0.1725    | 0.8757    | 0.2672    | 0.7841    || ---       | ---       | ---       | ---       ||
500     || ---       | ---       | ---       | ---       || ---       | ---       | ---       | ---       || 0.1846    | 0.7510    | 0.2247    | 0.7189    || 0.2821    | 0.8259    | 0.4874    | 0.6379    || 0.1519    | 0.8155    | 0.1751    | 0.7879    || 0.1759    | 0.8714    | 0.2632    | 0.7807    || ---       | ---       | ---       | ---       ||
600     || ---       | ---       | ---       | ---       || ---       | ---       | ---       | ---       || 0.1904    | 0.7375    | 0.2063    | 0.7188    || 0.2740    | 0.8250    | 0.4555    | 0.6214    || 0.1522    | 0.7901    | 0.1657    | 0.7719    || 0.1890    | 0.8742    | 0.2592    | 0.7824    || ---       | ---       | ---       | ---       ||
700     || ---       | ---       | ---       | ---       || ---       | ---       | ---       | ---       || 0.1793    | 0.7458    | 0.2133    | 0.7235    || 0.2875    | 0.8216    | 0.4442    | 0.6174    || 0.1439    | 0.8001    | 0.1710    | 0.7707    || 0.1910    | 0.8646    | 0.2815    | 0.7529    || ---       | ---       | ---       | ---       ||
800     || ---       | ---       | ---       | ---       || ---       | ---       | ---       | ---       || 0.1717    | 0.7435    | 0.1977    | 0.7008    || 0.2878    | 0.8338    | 0.4825    | 0.6469    || 0.1490    | 0.7824    | 0.1715    | 0.7324    || 0.2039    | 0.8718    | 0.2947    | 0.7716    || ---       | ---       | ---       | ---       ||
900     || ---       | ---       | ---       | ---       || ---       | ---       | ---       | ---       || 0.1719    | 0.7374    | 0.1914    | 0.7064    || 0.2763    | 0.8323    | 0.5034    | 0.6326    || 0.1454    | 0.7789    | 0.1716    | 0.7449    || 0.1861    | 0.8717    | 0.2938    | 0.7657    || ---       | ---       | ---       | ---       ||
1000    || ---       | ---       | ---       | ---       || ---       | ---       | ---       | ---       || 0.1855    | 0.7439    | 0.2404    | 0.7164    || 0.2273    | 0.8873    | 0.2676    | 0.8305    || 0.1530    | 0.7827    | 0.2007    | 0.7490    || 0.1710    | 0.8945    | 0.2296    | 0.8372    || 0.1461    | 0.7571    | 0.2004    | 0.7134    ||
2000    || ---       | ---       | ---       | ---       || ---       | ---       | ---       | ---       || 0.1636    | 0.7235    | 0.1636    | 0.7235    || 0.2329    | 0.9107    | 0.2329    | 0.9107    || 0.1522    | 0.7440    | 0.1522    | 0.7440    || 0.2138    | 0.9118    | 0.2138    | 0.9118    || 0.1304    | 0.7491    | 0.1304    | 0.7491    ||
3000    || ---       | ---       | ---       | ---       || ---       | ---       | ---       | ---       || 0.1645    | 0.7450    | 0.1645    | 0.7450    || 0.2555    | 0.9149    | 0.2555    | 0.9149    || 0.1570    | 0.7577    | 0.1570    | 0.7577    || 0.2133    | 0.9160    | 0.2133    | 0.9160    || 0.1307    | 0.7315    | 0.1307    | 0.7315    ||
